,income,county,tract
1,38657,061,000201
2,40182,061,000202
4,34473,061,000600
5,197058,061,000700
6,33953,061,000800
7,222237,061,000900
8,130417,061,001001
9,24350,061,001002
10,105938,061,001200
11,193984,061,001300
12,94076,061,001401
13,50347,061,001402
14,123750,061,001501
15,182348,061,001502
17,79973,061,001800
18,24655,061,002000
19,250001,061,002100
20,38594,061,002201
21,137313,061,002202
22,20876,061,002400
23,23737,061,002500
24,32837,061,002601
25,73899,061,002602
26,135000,061,002700
27,75100,061,002800
28,11612,061,002901
30,102883,061,003001
31,70346,061,003002
32,225694,061,003100
33,92434,061,003200
34,250001,061,003300
35,112030,061,003400
36,49869,061,003601
37,136607,061,003602
38,250001,061,003700
39,78526,061,003800
40,184604,061,003900
41,153701,061,004001
42,154390,061,004002
43,96461,061,004100
44,166447,061,004200
45,93816,061,004300
46,150697,061,004400
47,185208,061,004500
48,156000,061,004700
49,171472,061,004800
50,151546,061,004900
51,190380,061,005000
52,229963,061,005200
53,139891,061,005400
54,230167,061,005501
55,149853,061,005502
56,228750,061,005600
57,222237,061,005700
58,221875,061,005800
59,163583,061,005900
60,206087,061,006000
61,244014,061,006100
62,101598,061,006200
63,176827,061,006300
64,113556,061,006400
65,119467,061,006500
66,135367,061,006600
67,129494,061,006700
68,153913,061,006800
69,239038,061,006900
70,157802,061,007001
71,158158,061,007002
72,167963,061,007100
73,160880,061,007200
74,170434,061,007300
75,194636,061,007400
76,157350,061,007500
77,164188,061,007600
78,170655,061,007700
79,126617,061,007800
80,159763,061,007900
81,176988,061,008000
82,161474,061,008100
83,191250,061,008200
84,79036,061,008300
85,250001,061,008400
86,168320,061,008601
88,189926,061,008603
89,147454,061,008700
90,106033,061,008800
91,98952,061,008900
92,152716,061,009000
93,188145,061,009100
94,170341,061,009200
95,105682,061,009300
96,120625,061,009400
97,200455,061,009500
98,91538,061,009600
99,70816,061,009700
100,141989,061,009800
101,250001,061,009901
102,169241,061,009902
103,139659,061,009903
104,115536,061,010000
105,106528,061,010100
106,96375,061,010200
107,158343,061,010300
108,188971,061,010400
109,250001,061,010601
110,202674,061,010602
111,162455,061,010801
112,157532,061,010802
113,116758,061,010803
114,150625,061,010900
115,144856,061,011000
116,104119,061,011100
117,207850,061,011201
118,206295,061,011202
119,174453,061,011203
120,91250,061,011300
121,250001,061,011401
122,217500,061,011402
123,130302,061,011500
124,105893,061,011600
125,114517,061,011700
126,157480,061,011800
127,15843,061,011900
