,bbl,eui
0,3052370038,83.8
1,1008190014,77.8
2,1010557501,69.7
3,1004750056,78.1
4,1006980044,24.0
5,4019860001,11.4
6,1004740012,74.7
7,1020480016,64.4
8,3021470021,154.3
9,3021390014,74.0
10,1022390017,15.1
11,2037920042,30.0
12,2032660090,141.9
13,1020540075,212.6
14,1022390013,89.0
15,2033290040,66.4
16,2037920037,130.1
17,4012920012,61.2
18,2022930008,74.5
19,3075760021,27.7
20,1022500075,71.1
21,1012590014,68.1
22,4001050022,90.0
23,4002580038,36.1
24,4017700007,45.4
25,3036070008,72.3
26,3021050047,31.2
27,3047910023,69.5
28,3084090050,74.6
29,3052340021,65.0
30,1019800075,214.7
31,1012620048,54.8
32,1007800013,53.5
33,4005060029,33.7
34,3011690009,646.0
35,3011870049,132.2
36,5015480100,58.6
37,2032730225,101.5
38,2045110028,89.9
39,3024460051,28.0
40,1004570020,119.3
41,1000920032,23.3
42,2033240025,14.0
43,1022190037,78.9
44,1001740037,49.0
45,3030610010,19.7
46,1018700052,80.3
47,1010107506,125.0
48,4027570001,105.2
49,1010650021,60.2
50,4011590069,18.5
51,4021720001,83.6
52,2033260008,87.4
53,2028740098,89.5
54,4155670021,64.6
55,3061620049,148.1
56,3061620043,183.6
57,2033280117,79.5
58,1021690025,33.9
59,2027617501,40.3
60,1005630024,14.8
61,5010200020,92.9
62,4014680052,88.7
63,3051620068,70.5
64,3011870066,72.4
65,4023050022,115.4
66,3050070006,119.0
67,3017510025,37.5
68,2025060075,58.8
69,2025200053,74.4
70,2028720108,106.1
71,2028720123,121.3
72,2025210031,113.9
73,2028730016,126.7
74,2028740037,96.8
75,2028740033,109.0
76,2028740134,131.4
77,2028720205,106.0
78,2028720256,94.2
79,2028760037,114.6
80,2028760040,123.2
81,2025360001,156.3
82,2025330086,110.6
83,2025360026,104.8
84,2025210001,101.1
85,2025270168,88.3
86,2025280050,125.8
87,3024790055,64.1
88,4001380007,82.5
89,1018680020,62.7
90,2032640104,39.9
91,1008477501,65.5
92,1008470027,162.3
93,3012770007,68.1
94,3023247502,57.7
95,1012737501,32.6
96,1005907502,86.0
97,3056000037,66.9
98,3023337501,42.5
99,1020387501,56.1
100,3042710005,398.9
105,1011437503,71.9
106,3002500016,44.7
107,3001810031,46.1
108,1011470030,104.5
109,3001547501,45.6
110,1021800178,99.6
111,2028440105,19.8
112,1010150059,109.5
113,1014397501,84.2
114,1014337502,54.3
115,1014357501,55.3
116,1014297502,92.6
117,1014047503,50.5
118,1013807501,110.8
119,4004007501,63.2
120,1007677505,240.5
121,1013900023,39.6
122,1013457502,42.6
123,1015777504,56.3
124,1013630027,44.1
125,1011187502,68.5
126,1013610039,54.7
127,3000530009,73.3
128,3042570001,58.9
129,2025240033,61.1
130,2027210010,56.9
131,2030167502,348.0
132,4021370013,78.5
133,2024610094,66.4
134,3072240128,51.3
135,1020630046,72.7
136,1004877501,74.6
137,3000417502,53.2
138,3002350004,74.9
139,4022170001,68.8
140,1016297502,56.3
141,1014367504,46.5
142,1008197505,46.4
143,1008280035,77.9
145,1019490001,29.7
146,3011780067,82.9
147,3011780069,19.6
148,3011780075,17.9
149,3011780079,216.0
150,3011780083,16.7
151,3011780087,17.4
152,3034940028,28.7
153,3013960001,12.0
154,3050790001,82.8
155,3012110039,86.4
156,3011810068,9.5
157,3050890071,41.3
159,3086860078,71.0
160,3067210088,82.9
161,3067800039,85.2
162,3066250034,96.3
163,3086690077,121.8
164,3052070023,88.4
165,1021440025,232.0
166,1021440027,24.8
167,1021310055,129.1
168,3046940061,11.8
169,3046940067,162.2
170,3046320001,103.9
171,1022240022,99.9
172,1021720051,83.0
174,1021740217,17.8
175,3052120001,110.1
176,3047170046,115.3
177,3049170022,103.8
178,3049180058,111.7
179,1022210036,123.7
180,1022180015,66.9
181,1022180017,124.6
182,3047780001,98.7
183,3064140006,154.8
185,3045970070,84.8
186,4157440007,85.0
187,3074400041,83.7
188,1004980016,53.9
189,1014717501,105.9
190,1011970052,13.1
191,2022610005,57.8
192,2056100087,113.9
193,4010030011,95.2
194,3027910049,12.6
195,3024360013,12.3
196,2031790004,112.4
197,2033360011,78.3
198,3068360050,73.1
199,1008610010,96.7
200,2025050001,56.7
201,3013790019,17.3
202,3013790024,318.2
203,2032930083,70.4
204,2031670046,90.0
205,3046470001,122.5
206,1022210039,99.1
207,4096750006,109.2
208,2032630292,81.9
209,2027610139,104.1
210,2042980022,92.0
211,3075807501,25.2
212,3058687502,66.9
213,2045930001,110.0
214,3054170045,102.7
215,3066370016,45.4
216,3065730040,30.7
217,3054220019,104.6
218,3067480016,127.3
219,3064980055,100.0
220,3065730043,124.5
221,5075770003,52.8
222,1004997501,53.1
223,1005090026,125.5
224,1004150078,161.3
225,2053860017,134.9
226,2032870066,83.1
227,1022290046,149.7
228,1022150534,106.4
229,2032790041,105.3
230,1022150061,136.7
231,2033180092,72.0
232,1022150555,24.2
233,1021700283,103.7
234,3062860043,105.3
235,2031630006,93.0
236,1010780008,101.9
237,1015630005,13.5
238,1021580079,62.8
239,2031440045,119.3
240,3000287501,48.8
241,3011790092,60.2
242,1008670020,85.5
243,1022150352,100.3
244,1021390236,103.3
245,2049540008,263.5
246,1005290057,74.2
247,3002710023,85.9
248,3072607502,93.3
249,3014200020,44.6
250,1011250024,70.0
251,3023247502,57.7
252,1014877502,88.1
253,1020457501,52.4
254,1012737501,32.6
255,1020457502,41.1
256,1014080033,72.8
257,1017480001,73.6
258,1009357501,61.4
259,1010777501,55.4
261,1002187504,90.8
262,1015180049,62.4
263,1005907502,86.0
264,1014147501,127.4
265,1011200057,67.9
266,1009040050,68.5
267,1008910059,70.0
268,1006367501,44.6
269,1006957507,56.0
270,1001067502,70.5
271,1006370030,42.6
272,1013680039,66.9
273,1008590064,40.5
277,1014147502,56.2
278,3050970104,75.9
279,2057500500,19.4
280,4049787501,35.2
281,3056500014,81.1
282,4049737501,150.6
283,1011660011,76.4
284,2027627501,101.7
285,1022480009,34.9
286,2058353037,83.0
287,1018800010,21.3
288,2057230094,56.1
289,2057230084,84.9
290,2057887501,70.4
291,2057430198,54.2
292,2037390059,138.7
293,2024310026,85.3
294,2028410041,81.5
295,3002540006,68.8
296,2028280005,78.5
297,2032370100,146.3
298,4012790035,75.8
299,2024240086,83.5
300,2024240110,114.5
301,1019690055,75.0
302,1021760036,64.0
303,1022500050,55.6
304,3050530001,81.5
305,3013930040,74.8
306,3050660086,58.5
307,2038080038,51.4
308,2046310075,74.7
309,4000650020,20.7
310,5054600037,256.5
311,2045130059,97.2
312,2045140044,53.0
313,2033177501,55.0
314,1018730001,58.8
315,1001020001,115.7
316,1000927501,73.4
317,1001010002,59.7
318,1000770020,55.9
319,3003917501,75.0
320,4066560063,85.3
321,4065420003,83.4
322,4065370028,68.1
323,3055170039,72.1
324,2033560099,99.2
325,1018700029,97.3
326,2043400037,87.3
327,2025060111,65.0
328,2028140008,97.0
329,1019930040,79.3
330,3013810044,88.4
331,3003190007,92.4
332,2027840029,109.5
333,2033060001,73.8
