pid,bbl,bin,borough,electricity_use_kwh,building_area_sqft
6664906,3052370038,3121216,brooklyn,55685.1,27820
6664908,1008190014,1015410,manhattan,518669.0,29532
6664909,1010557501,1070034,manhattan,173508.9,30700
6664910,1004750056,1007082,manhattan,204243.6,33029
6664912,1006980044,1012395,manhattan,79272.3,42800
6664913,4019860001,4048852,queens,126669.8,37963
6664914,1004740012,1007037,manhattan,701229.7,34886
6664916,1020480016,1060906,manhattan,245682.7,52976
6664917,3021470021,3059680,brooklyn,116791.9,31394
6664918,3021390014,3059628,brooklyn,116934.8,27739
6664919,1022390017,1064964,manhattan,141425.9,40350
6664920,2037920042,2025817,bronx,283268.4,48760
6664921,2032660090,2016127,bronx,146478.8,32956
6664922,1020540075,1061187,manhattan,168940.5,34497
6664923,1022390013,1064963,manhattan,165111.3,37268
6664924,2033290040,2017838,bronx,219463.5,44892
6664925,2037920037,2025816,bronx,150256.0,46545
6664926,4012920012,4030014,queens,663439.5,37000
6664927,2022930008,2000528,bronx,385460.1,27392
6664928,3075760021,3206438,brooklyn,226130.6,27820
6664929,1022500075,1065084,manhattan,148563.9,40105
6664930,1012590014,1034204,manhattan,623523.5,49360
6664931,4001050022,4000755,queens,69814.7,27419
6664932,4002580038,4003467,queens,165544.8,47080
6664933,4017700007,4044345,queens,285405.8,27300
6664934,3036070008,3082397,brooklyn,175192.0,40214
6664936,3047910023,3106502,brooklyn,56071.2,33730
6664937,3084090050,3237222,brooklyn,170681.2,29957
6664938,3052340021,3121115,brooklyn,124287.4,38520
6664939,1019800075,1059689,manhattan,1229424.8,28223
6664940,1012620048,1034341,manhattan,1596239.0,118292
6664941,1007800013,1014339,manhattan,474761.5,64625
6664942,4005060029,4518927,queens,722126.3,89880
6664944,3011690009,3029309,brooklyn,6598605.5,38199
6671707,3011870049,3029691,brooklyn,286867.7,28117
6671708,0,5151294,staten is,401884.7,42372
6671709,2032730225,2116012,bronx,1132419.0,53495
6671710,2045110028,2053670,bronx,142495.1,48800
6671711,3024460051,3063453,brooklyn,130348.8,48578
6671712,1004570020,1006540,manhattan,111414.2,29532
6671713,1000920032,1001278,manhattan,96964.3,26791
6671714,2033240025,2017678,bronx,133573.1,49149
6671715,1022190037,1064742,manhattan,180164.6,45496
6671716,1001740037,1001910,manhattan,379911.5,44940
6671718,3030610010,0,brooklyn,133845.8,32034
6671721,0,1056410,manhattan,834093.6,59509
6675019,1010107506,1088565,manhattan,14447743.0,853567
6675073,4027570001,4061621,queens,118295.0,32526
6675074,1010650021,1026843,manhattan,235414.7,38466
6675080,4011590069,4026092,queens,81029.0,30000
6675086,4021720001,4051723,queens,367366.0,90816
6675126,2033260008,2017720,bronx,188682.9,48834
6675127,2028740098,2008774,bronx,230636.2,29700
6675128,4155670021,4298337,queens,75468.4,25200
6675130,3061620049,3156816,brooklyn,159678.0,38280
6675132,3061620043,3156815,brooklyn,107643.7,29910
6675135,2033280117,2017812,bronx,112076.2,37000
6675137,1021690025,1064148,manhattan,212705.8,27055
6675149,2027617501,2006325,bronx,284435.6,32135
6675153,1005630024,1009130,manhattan,124322.1,36846
6675157,5010200020,5110130,staten is,197094.7,36946
6675158,4014680052,4036173,queens,129963.4,25475
6675159,3051620068,3118811,brooklyn,156859.6,40000
6675160,3011870066,3029701,brooklyn,87512.9,25152
6675163,4023050022,4053443,queens,147446.9,37216
6675165,3050070006,3114023,brooklyn,148971.8,36180
6675166,3017510025,3329636,brooklyn,485387.4,45939
6675167,2025060075,2003084,bronx,198121.5,36750
6675168,2025200053,2115824,bronx,254970.4,45963
6675170,2028720108,2008674,bronx,126674.0,31875
6675171,2028720123,2008678,bronx,195663.2,33000
6675578,2025210031,2003349,bronx,210414.4,43205
6675579,2028730016,2008729,bronx,248206.8,42878
6675580,2028740037,2008750,bronx,179431.6,30600
6675582,2028740033,2008749,bronx,248421.0,37570
6675583,2028740134,2008780,bronx,167753.1,31455
6675584,2028720205,2008688,bronx,184143.9,33100
6675586,2028720256,2008698,bronx,201795.5,40371
6675587,2028760037,2008809,bronx,174177.3,33000
6675588,2028760040,2008810,bronx,174587.2,33000
6675589,2025360001,2003562,bronx,209378.7,36000
6675591,2025330086,2003545,bronx,131138.7,26400
6675592,2025360026,2003565,bronx,147210.2,33000
6675593,2025210001,2003337,bronx,209359.4,39432
6675594,2025270168,2003498,bronx,176117.8,29970
6675596,2025280050,2003514,bronx,157783.0,32250
6675604,3024790055,3063693,brooklyn,383209.0,34750
6668464,0,4001282,queens,178929.7,41255
6665154,0,1056060,manhattan,187337.1,53305
6668373,0,2016115,bronx,928779.0,102977
6668199,0,1016154,manhattan,1292139.5,98030
6668227,0,1080755,manhattan,2316592.0,101724
6667522,0,3397391,brooklyn,2224437.0,280288
6667525,0,1035078,manhattan,1278703.6,231508
6667538,0,1076078,manhattan,845268.3,97940
6668501,3056000037,3135986,brooklyn,279533.1,25500
6672480,0,3424736,brooklyn,1326983.5,198734
6672491,0,1089911,manhattan,431452.9,70782
6673901,1011437503,1076233,manhattan,445740.0,47849
6673902,3002500016,3425984,brooklyn,732708.4,79211
6673903,3001810031,3420701,brooklyn,343350.4,49997
6673906,1011470030,1079333,manhattan,310406.1,36258
6673907,3001547501,3425971,brooklyn,1164612.2,144902
6675932,1021800178,1064438,manhattan,199300.5,56000
6672380,2028440105,2008120,bronx,310211.1,76010
6664122,1010150059,1024710,manhattan,692730.1,41287
6664543,1014397501,1072488,manhattan,1373908.4,153116
6664544,1014337502,1088595,manhattan,1390085.5,125063
6664545,1014357501,1072231,manhattan,1112117.6,233099
6664548,1014297502,1087912,manhattan,3521738.7,256863
6664549,1014047503,1042610,manhattan,1517614.4,186869
6664550,1013807501,1087937,manhattan,1124041.2,98550
6666488,4004007501,4607501,queens,2483235.3,397455
6666490,1007677505,1013854,manhattan,13657511.3,344517
6666491,1013900023,1041695,manhattan,1111279.2,225202
6666492,1013457502,1090147,manhattan,1522822.6,210388
6666493,1015777504,1090384,manhattan,1667010.9,184440
6666494,1013630027,1040141,manhattan,229047.4,73593
6666495,1011187502,1028167,manhattan,608755.4,75282
6667532,1013610039,1040084,manhattan,410844.3,93616
6667558,0,3000135,brooklyn,209975.8,37968
6672937,3042570001,3404587,brooklyn,309707.8,63386
6672939,2025240033,2129213,bronx,299156.0,56406
6672940,2027210010,2120355,bronx,392087.5,63891
6672945,2030167502,2120278,bronx,1406238.2,42200
6674243,4021370013,0,queens,231507.2,72222
6674245,2024610094,2002823,bronx,2510300.7,568597
6674252,1020630046,1061524,manhattan,134599.2,44268
6674254,1004877501,1007311,manhattan,478469.8,37443
6674255,3000417502,3000094,brooklyn,346811.7,37048
6674257,3002350004,3001779,brooklyn,170012.6,45664
6674258,4022170001,4052243,queens,233907.2,83811
6674259,1016297502,1085680,manhattan,379663.9,56282
6674876,0,1090528,manhattan,443154.1,66000
6675079,0,1015408,manhattan,1065640.8,121000
6675576,1008280035,1015650,manhattan,1443625.4,151000
6671363,0,1059225,manhattan,634469.8,78936
6671379,0,3029607,brooklyn,173203.4,26776
6671393,0,3029608,brooklyn,159402.0,28440
6671465,0,3029610,brooklyn,134114.0,25556
6671476,0,3029611,brooklyn,153581.3,25556
6671482,0,3029612,brooklyn,130472.5,26640
6671491,0,3029613,brooklyn,137754.3,26952
6671501,0,3331212,brooklyn,259144.3,30800
6671522,0,3037542,brooklyn,126688.4,36000
6671544,3050790001,3116509,brooklyn,98269.6,30956
6671556,3012110039,3030275,brooklyn,226042.0,35745
6671570,3011810068,3331283,brooklyn,79657.2,28724
6672344,0,3116881,brooklyn,387237.7,32000
6672870,0,3245078,brooklyn,102501.9,41760
6672872,0,3182470,brooklyn,128318.6,44000
6672873,0,3175531,brooklyn,147873.7,48800
6672874,0,3244592,brooklyn,116830.8,34720
6672875,0,3120269,brooklyn,144382.3,34400
6672876,0,1063544,manhattan,96889.8,15840
6672877,0,1063545,manhattan,78972.0,15840
6672878,0,1063174,manhattan,131339.2,23505
6672880,0,3102740,brooklyn,146724.8,40800
6672881,0,3100705,brooklyn,147222.7,30720
6672883,0,1064805,manhattan,110779.4,25157
6672884,0,1064144,manhattan,139426.6,30155
6672885,0,1064214,manhattan,165168.3,31665
6672886,0,1064213,manhattan,157418.1,32590
6672887,0,3120366,brooklyn,165983.9,41452
6672888,0,3103599,brooklyn,84485.2,24000
6672889,0,3110484,brooklyn,105225.4,29932
6672890,0,3110552,brooklyn,99243.8,22120
6672892,0,1064726,manhattan,79344.8,14490
6672893,0,1064727,manhattan,103934.2,20330
6672894,0,3106048,unknown,259595.8,54600
6672895,0,3167998,brooklyn,188384.2,29800
6672897,0,3099484,brooklyn,298554.7,64381
6664965,3074400041,3204131,brooklyn,224870.3,36010
6674207,1004980016,1007578,manhattan,65227.7,29586
6673658,0,1045956,manhattan,195302.4,26281
6673659,0,1031236,manhattan,118179.5,36265
6675610,2022610005,2092081,bronx,431820.0,41080
6675611,0,2081724,bronx,691254.7,43128
6675619,4010030011,4021796,queens,499001.6,38160
6675041,0,3069661,brooklyn,75920.4,26316
6675075,0,3063335,brooklyn,74047.0,29620
6672431,2031790004,2127653,bronx,569844.3,28000
6663261,2033360011,2018042,bronx,345509.6,105060
6663265,3068360050,3184661,brooklyn,325274.5,97020
6664170,1008610010,1088871,manhattan,1565159.7,78843
6664385,2025050001,2003055,bronx,115675.8,35700
6664395,3013790019,3036858,brooklyn,115860.4,36400
6664397,3013790024,3036859,brooklyn,74712.0,25200
6664407,2032930083,2016813,bronx,146887.8,44431
6664409,2031670046,2013819,bronx,145937.3,39425
6664413,3046470001,3101129,brooklyn,139394.3,32780
6664415,1022210039,1064773,manhattan,142416.8,30725
6664771,4096750006,4440110,queens,97729.7,31000
6664778,2032630292,2016101,bronx,282390.3,88056
6664780,2027610139,2006383,bronx,148771.4,30100
6664782,2042980022,2048981,bronx,390534.5,97800
6666456,3075807501,0,brooklyn,110187.2,31814
6666457,3058687502,3388765,brooklyn,163241.0,33158
6667354,2045930001,2056149,bronx,514207.7,37250
6667375,3054170045,3127742,brooklyn,136467.6,37226
6667379,3066370016,0,brooklyn,141739.9,45350
6667383,3065730040,3173154,brooklyn,155122.1,25600
6667387,3054220019,3127878,brooklyn,98267.2,32000
6667390,3067480016,3181125,brooklyn,76815.6,27084
6667393,3064980055,3170246,brooklyn,93755.2,32200
6667395,3065730043,3173155,brooklyn,193578.7,31400
6669837,5075770003,5118310,staten is,410470.6,75000
6672463,1004997501,1007627,manhattan,161019.1,28121
6673889,1005090026,1007922,manhattan,299624.2,25480
6673894,1004150078,1005508,manhattan,421288.3,25071
6674047,2053860017,2074435,bronx,155719.5,25200
6674049,2032870066,2016629,bronx,98431.6,27000
6674806,1022290046,1064873,manhattan,141772.3,25315
6674813,1022150534,1064670,bronx,444167.1,42000
6674815,2032790041,2016418,bronx,113142.3,25122
6674816,1022150061,1064524,bronx,273374.5,35268
6674818,2033180092,2017533,bronx,140666.0,36900
6674819,1022150555,1064679,bronx,206816.7,41910
6674821,1021700283,1064083,manhattan,136544.4,26390
6674822,3062860043,3163374,brooklyn,172385.4,48000
6675949,2031630006,2013766,bronx,197850.5,49034
